127.0.0.1 - - [28/Aug/2020:19:10:14 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:10:14 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:10:15 +0530] "GET /project_4/image/rays.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:14:20 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:14:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:14:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:14:22 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:14:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:14:32 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:14:32 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4355
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:14:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:14:38 +0530] "GET /project_4/ctl/RoleCtl HTTP/1.1" 200 5499
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:14:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:14:40 +0530] "POST /project_4/ctl/RoleCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:14:40 +0530] "GET /project_4/ctl/RoleCtl HTTP/1.1" 200 5499
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:14:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:14:44 +0530] "GET /project_4/ctl/RoleListCtl HTTP/1.1" 200 7651
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:14:44 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:14:44 +0530] "GET /project_4/js/CheckBox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:14:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:14:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:14:46 +0530] "POST /project_4/ctl/RoleListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:14:46 +0530] "GET /project_4/ctl/RoleCtl HTTP/1.1" 200 5499
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:14:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:14:50 +0530] "GET /project_4/ctl/RoleListCtl HTTP/1.1" 200 7651
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:15:09 +0530] "GET /project_4/ctl/RoleCtl?id=2 HTTP/1.1" 200 5573
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:15:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:15:15 +0530] "GET /project_4/ctl/RoleCtl?id=3 HTTP/1.1" 200 5574
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:15:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:15:22 +0530] "GET /project_4/ctl/RoleCtl?id=3 HTTP/1.1" 200 5574
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:15:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:15:27 +0530] "GET /project_4/ctl/RoleCtl?id=4 HTTP/1.1" 200 5569
0:0:0:0:0:0:0:1 - - [28/Aug/2020:19:15:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
