127.0.0.1 - - [04/Nov/2020:12:26:57 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:26:58 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:26:58 +0530] "GET /project_4/image/rays.png HTTP/1.1" 200 6032
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:26:58 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:41:23 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:41:36 +0530] "GET /project_4/ HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:42:10 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:44:23 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:44:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:55:09 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:55:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:55:30 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:55:30 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:55:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:55:32 +0530] "GET /project_4/ctl/FacultyCtl HTTP/1.1" 200 10389
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:55:32 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 200 95931
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:55:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:55:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:57:16 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:57:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:59:30 +0530] "GET /project_4/ctl/CollegeListCtl HTTP/1.1" 200 10926
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:59:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:59:30 +0530] "GET /project_4/js/CheckBox11.js HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:59:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:59:37 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:59:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:59:39 +0530] "GET /project_4/ctl/CollegeListCtl HTTP/1.1" 200 10926
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:59:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:59:42 +0530] "POST /project_4/ctl/CollegeListCtl HTTP/1.1" 200 10935
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:59:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:59:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:59:49 +0530] "POST /project_4/ctl/CollegeListCtl HTTP/1.1" 200 7637
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:59:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:12:59:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:13:00:17 +0530] "POST /project_4/ctl/CollegeListCtl HTTP/1.1" 200 10950
0:0:0:0:0:0:0:1 - - [04/Nov/2020:13:00:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:13:00:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:14:09:46 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 4367
0:0:0:0:0:0:0:1 - - [04/Nov/2020:14:09:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:14:10:04 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2020:14:10:04 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12096
0:0:0:0:0:0:0:1 - - [04/Nov/2020:14:10:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:14:10:06 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [04/Nov/2020:14:10:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:14:10:13 +0530] "GET /project_4/ctl/MarksheetListCtl HTTP/1.1" 200 10639
0:0:0:0:0:0:0:1 - - [04/Nov/2020:14:10:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:14:11:32 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [04/Nov/2020:14:11:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:15:43:00 +0530] "GET /project_4/LoginCtl?operation=logout HTTP/1.1" 200 4261
0:0:0:0:0:0:0:1 - - [04/Nov/2020:15:43:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:15:43:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:15:43:07 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2020:15:43:07 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7276
0:0:0:0:0:0:0:1 - - [04/Nov/2020:15:43:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:15:43:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:15:44:10 +0530] "POST /project_4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2020:15:44:10 +0530] "GET /project_4/ErrorCtl HTTP/1.1" 500 1608
0:0:0:0:0:0:0:1 - - [04/Nov/2020:15:44:59 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7276
0:0:0:0:0:0:0:1 - - [04/Nov/2020:15:45:23 +0530] "POST /project_4/UserRegistrationCtl HTTP/1.1" 200 7405
0:0:0:0:0:0:0:1 - - [04/Nov/2020:15:45:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Nov/2020:15:45:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
