127.0.0.1 - - [20/Aug/2020:10:07:04 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:07:05 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:07:07 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:07:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:07:09 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4189
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:07:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:07:20 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:07:20 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4355
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:07:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:07:53 +0530] "GET /project_4/ctl/StudentListCtl HTTP/1.1" 200 11364
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:07:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:08:00 +0530] "POST /project_4/ctl/StudentListCtl HTTP/1.1" 200 11365
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:08:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:08:08 +0530] "POST /project_4/ctl/StudentListCtl HTTP/1.1" 200 11365
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:08:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:14:52 +0530] "POST /project_4/ctl/StudentListCtl HTTP/1.1" 200 8368
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:14:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:15:10 +0530] "POST /project_4/ctl/StudentListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:15:10 +0530] "GET /project_4/ctl/StudentListCtl HTTP/1.1" 200 11347
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:15:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:15:39 +0530] "POST /project_4/ctl/StudentListCtl HTTP/1.1" 200 7363
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:15:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:19:28 +0530] "POST /project_4/ctl/StudentListCtl HTTP/1.1" 200 7367
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:19:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:19:30 +0530] "POST /project_4/ctl/StudentListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:19:30 +0530] "GET /project_4/ctl/StudentListCtl HTTP/1.1" 200 11351
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:19:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:19:35 +0530] "POST /project_4/ctl/StudentListCtl HTTP/1.1" 200 7357
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:19:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:20:33 +0530] "POST /project_4/ctl/StudentListCtl HTTP/1.1" 200 7357
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:20:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:20:37 +0530] "POST /project_4/ctl/StudentListCtl HTTP/1.1" 200 7357
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:20:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:20:39 +0530] "POST /project_4/ctl/StudentListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:20:39 +0530] "GET /project_4/ctl/StudentListCtl HTTP/1.1" 200 11351
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:20:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:20:43 +0530] "POST /project_4/ctl/StudentListCtl HTTP/1.1" 200 11351
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:20:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:22:04 +0530] "GET /project_4/ctl/CollegeListCtl HTTP/1.1" 200 9123
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:22:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:22:10 +0530] "POST /project_4/ctl/CollegeListCtl HTTP/1.1" 200 7086
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:22:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:22:14 +0530] "POST /project_4/ctl/CollegeListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:22:14 +0530] "GET /project_4/ctl/CollegeListCtl HTTP/1.1" 200 9123
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:22:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:22:19 +0530] "POST /project_4/ctl/CollegeListCtl HTTP/1.1" 200 7889
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:22:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:22:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Aug/2020:10:22:21 +0530] "POST /project_4/ctl/CollegeListCtl HTTP/1.1" 302 -
