127.0.0.1 - - [02/Sep/2020:14:55:34 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Sep/2020:14:55:35 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:01:30 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:01:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:01:32 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:01:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:01:36 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:01:36 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:01:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:01:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:04:14 +0530] "POST /project_4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:04:15 +0530] "GET /project_4/ErrorCtl HTTP/1.1" 500 3426
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:10:23 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:10:43 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:10:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:10:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:10:49 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:12:32 +0530] "POST /project_4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:12:32 +0530] "GET /project_4/ErrorCtl HTTP/1.1" 500 3426
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:21:48 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:21:52 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:21:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:21:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:22:51 +0530] "POST /project_4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:22:51 +0530] "GET /project_4/ErrorCtl HTTP/1.1" 500 3426
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:31:05 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:31:39 +0530] "POST /project_4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:31:39 +0530] "GET /project_4/ErrorCtl HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:44:36 +0530] "GET /project_4/WEB-INF/classes/in/co/rays/project_4/bean/Emailcode.java HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [02/Sep/2020:15:45:48 +0530] "GET /project_4/WEB-INF/classes/in/co/rays/project_4/bean/Emailcode.java HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [02/Sep/2020:16:21:52 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [02/Sep/2020:16:22:49 +0530] "POST /project_4/UserRegistrationCtl HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [02/Sep/2020:16:25:16 +0530] "POST /project_4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2020:16:25:16 +0530] "GET /project_4/ErrorCtl HTTP/1.1" 500 3426
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:03 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:03 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4355
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:07 +0530] "GET /project_4/ctl/StudentListCtl HTTP/1.1" 200 11547
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:08 +0530] "GET /project_4/js/CheckBox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:08 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:11 +0530] "POST /project_4/ctl/StudentListCtl HTTP/1.1" 200 8062
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:14 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 8497
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:16 +0530] "GET /project_4/ctl/MyProfileCtl HTTP/1.1" 200 7111
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:16 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:16 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:17 +0530] "GET /project_4/ctl/ChangePasswordCtl HTTP/1.1" 200 6176
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:19 +0530] "GET /project_4/doc/index.html HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:23 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:27 +0530] "GET /project_4/ctl/FacultyListCtl HTTP/1.1" 200 12699
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:03:31 +0530] "POST /project_4/ctl/FacultyListCtl HTTP/1.1" 200 7841
