127.0.0.1 - - [02/Aug/2020:09:13:03 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:13:04 +0530] "GET /project_4/ HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:14:19 +0530] "GET /project_4/ HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:14:32 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2531
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:14:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:14:50 +0530] "GET /project_4/ HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:14:53 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2531
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:14:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:15:50 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2547
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:15:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:16:01 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:16:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:16:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:16:36 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2550
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:16:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:16:45 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4141
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:16:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:16:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:17:30 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:17:30 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4275
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:17:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:17:37 +0530] "GET /project_4/ctl/MyProfileCtl HTTP/1.1" 200 7098
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:17:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:17:37 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:17:37 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:30:05 +0530] "GET /project_4/ctl/MyProfileCtl HTTP/1.1" 200 7098
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:30:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:30:05 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:30:05 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:30:39 +0530] "GET /project_4/ctl/MyProfileCtl HTTP/1.1" 200 7098
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:30:39 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:30:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:30:40 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:31:09 +0530] "GET /project_4/ctl/MyProfileCtl HTTP/1.1" 200 7098
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:31:09 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2020:09:31:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
