127.0.0.1 - - [17/Nov/2020:13:16:16 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Nov/2020:13:16:19 +0530] "GET /project_4/jsp/LoginView.jsp HTTP/1.1" 200 4569
0:0:0:0:0:0:0:1 - - [17/Nov/2020:13:16:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [17/Nov/2020:13:16:21 +0530] "GET /project_4/image/rays.png HTTP/1.1" 200 6032
0:0:0:0:0:0:0:1 - - [17/Nov/2020:13:16:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [17/Nov/2020:13:16:57 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Nov/2020:13:20:29 +0530] "GET /project_4/jsp/LoginView.jsp HTTP/1.1" 200 4569
0:0:0:0:0:0:0:1 - - [17/Nov/2020:13:20:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [17/Nov/2020:13:20:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [17/Nov/2020:13:22:23 +0530] "GET /project_4/jsp/LoginView.jsp HTTP/1.1" 200 4569
0:0:0:0:0:0:0:1 - - [17/Nov/2020:13:22:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [17/Nov/2020:13:22:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [17/Nov/2020:13:27:21 +0530] "GET /project_4/jsp/ajay.jsp HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [17/Nov/2020:13:27:51 +0530] "GET /project_4/jsp/ajay.jsp HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [17/Nov/2020:13:27:53 +0530] "GET /project_4/jsp/ajay.jsp HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [17/Nov/2020:13:27:53 +0530] "GET /project_4/jsp/ajay.jsp HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [17/Nov/2020:13:28:40 +0530] "GET /project_4/jsp/ajay.jsp HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [17/Nov/2020:13:32:33 +0530] "GET /project_4/jsp/ajay.jsp HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [17/Nov/2020:13:34:30 +0530] "GET /project_4/jsp/ajay.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [17/Nov/2020:13:34:42 +0530] "GET /project_4/jsp/LoginView.jsp HTTP/1.1" 200 4569
0:0:0:0:0:0:0:1 - - [17/Nov/2020:13:34:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [17/Nov/2020:13:34:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [17/Nov/2020:14:30:31 +0530] "GET /project_4/jsp/LoginView.jsp HTTP/1.1" 200 4569
0:0:0:0:0:0:0:1 - - [17/Nov/2020:14:30:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [17/Nov/2020:14:30:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [17/Nov/2020:14:30:50 +0530] "GET /project_4/jsp/LoginView.jsp HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [17/Nov/2020:14:30:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [17/Nov/2020:14:30:59 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:14:30:59 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [17/Nov/2020:14:30:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [17/Nov/2020:14:31:03 +0530] "GET /project_4/ctl/RoleListCtl HTTP/1.1" 200 8825
0:0:0:0:0:0:0:1 - - [17/Nov/2020:14:31:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [17/Nov/2020:14:31:03 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 200 95931
0:0:0:0:0:0:0:1 - - [17/Nov/2020:14:31:03 +0530] "GET /project_4/js/CheckBox11.js HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [17/Nov/2020:14:31:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [17/Nov/2020:14:31:15 +0530] "GET /project_4/ctl/CollegeListCtl HTTP/1.1" 200 10892
0:0:0:0:0:0:0:1 - - [17/Nov/2020:14:31:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [17/Nov/2020:14:31:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [17/Nov/2020:15:36:07 +0530] "GET /project_4/LoginCtl?operation=logout HTTP/1.1" 200 4261
0:0:0:0:0:0:0:1 - - [17/Nov/2020:15:36:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [17/Nov/2020:15:36:12 +0530] "POST /project_4/LoginCtl HTTP/1.1" 200 4296
0:0:0:0:0:0:0:1 - - [17/Nov/2020:15:36:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [17/Nov/2020:15:39:14 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [17/Nov/2020:15:39:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [17/Nov/2020:15:49:46 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:15:49:46 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [17/Nov/2020:15:49:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
