127.0.0.1 - - [18/Jul/2020:13:47:06 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Jul/2020:13:47:07 +0530] "GET /project_4/ HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [18/Jul/2020:13:47:09 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [18/Jul/2020:13:47:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Jul/2020:13:47:12 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4141
0:0:0:0:0:0:0:1 - - [18/Jul/2020:13:47:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Jul/2020:13:47:31 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jul/2020:13:47:31 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 3833
0:0:0:0:0:0:0:1 - - [18/Jul/2020:13:47:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Jul/2020:13:47:35 +0530] "GET /project_4/ctl/RoleCtl HTTP/1.1" 200 4861
0:0:0:0:0:0:0:1 - - [18/Jul/2020:13:47:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Jul/2020:13:53:20 +0530] "POST /project_4/ctl/RoleCtl HTTP/1.1" 200 4959
0:0:0:0:0:0:0:1 - - [18/Jul/2020:13:53:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Jul/2020:13:53:39 +0530] "POST /project_4/ctl/RoleCtl HTTP/1.1" 200 4959
0:0:0:0:0:0:0:1 - - [18/Jul/2020:13:53:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Jul/2020:13:53:46 +0530] "POST /project_4/ctl/RoleCtl HTTP/1.1" 200 4959
0:0:0:0:0:0:0:1 - - [18/Jul/2020:13:53:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Jul/2020:13:53:49 +0530] "GET /project_4/ctl/StudentListCtl HTTP/1.1" 200 6700
0:0:0:0:0:0:0:1 - - [18/Jul/2020:13:53:49 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [18/Jul/2020:13:53:49 +0530] "GET /project_4/js/CheckBox11.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [18/Jul/2020:13:53:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Jul/2020:13:53:50 +0530] "GET /project_4/ctl/RoleCtl HTTP/1.1" 200 4920
0:0:0:0:0:0:0:1 - - [18/Jul/2020:13:53:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Jul/2020:14:04:25 +0530] "GET /project_4/ctl/RoleCtl HTTP/1.1" 200 4986
0:0:0:0:0:0:0:1 - - [18/Jul/2020:14:04:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Jul/2020:14:04:27 +0530] "POST /project_4/ctl/RoleCtl HTTP/1.1" 200 5025
0:0:0:0:0:0:0:1 - - [18/Jul/2020:14:04:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
