127.0.0.1 - - [25/Oct/2020:18:40:33 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:40:34 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:41:17 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:41:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:41:20 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:41:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:41:36 +0530] "POST /project_4/LoginCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:41:47 +0530] "POST /project_4/LoginCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:41:49 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:41:53 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7715
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:41:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:41:56 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5114
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:41:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:41:58 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:41:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:42:04 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 8492
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:42:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:42:05 +0530] "GET /project_4/LoginCtl?operation=logout HTTP/1.1" 200 4261
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:42:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:42:14 +0530] "POST /project_4/LoginCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:42:24 +0530] "POST /project_4/LoginCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:43:18 +0530] "POST /project_4/LoginCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:43:23 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:43:28 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:43:28 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:43:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:44:29 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:44:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:44:37 +0530] "GET /project_4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:44:37 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:44:39 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:44:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:45:04 +0530] "GET /project_4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:45:04 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:45:07 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:45:08 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:45:08 +0530] "GET /project_4/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:45:08 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:45:08 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:45:08 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:45:08 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:45:09 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:45:09 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [25/Oct/2020:18:45:10 +0530] "GET /project_4/ HTTP/1.1" 200 338
