127.0.0.1 - - [04/Sep/2020:11:32:26 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:32:27 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:32:29 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:32:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:32:33 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:32:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:37:23 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:37:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:38:26 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:38:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:39:03 +0530] "GET /project_4/ HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:39:22 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:39:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:39:26 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:45:18 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:45:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:45:20 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:45:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:48:39 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:48:44 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:48:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:50:43 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:50:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:50:51 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:50:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:56:22 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:56:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:56:33 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:56:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:57:12 +0530] "POST /project_4/LoginCtl HTTP/1.1" 200 4236
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:57:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:58:38 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:58:38 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4355
0:0:0:0:0:0:0:1 - - [04/Sep/2020:11:58:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:15:49 +0530] "GET /project_4/LoginCtl?operation=logout HTTP/1.1" 200 4215
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:15:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:17:02 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:17:02 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:17:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:17:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:25:41 +0530] "GET /project_4/LoginCtl?operation=logout HTTP/1.1" 200 4215
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:25:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:25:59 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:25:59 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:25:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:25:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:27:43 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:27:43 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:27:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:27:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:30:01 +0530] "POST /project_4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:30:02 +0530] "GET /project_4/ErrorCtl HTTP/1.1" 500 3426
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:41:51 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:41:56 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:41:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:41:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:42:33 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:42:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:42:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:42:34 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:42:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:42:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:42:34 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:42:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:42:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:47:37 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:47:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:47:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:48:33 +0530] "POST /project_4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:12:48:34 +0530] "GET /project_4/ErrorCtl HTTP/1.1" 500 3426
0:0:0:0:0:0:0:1 - - [04/Sep/2020:13:30:34 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [04/Sep/2020:13:30:38 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [04/Sep/2020:13:30:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:13:30:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:13:31:29 +0530] "POST /project_4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:13:31:29 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [04/Sep/2020:13:31:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:13:31:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:13:39:28 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [04/Sep/2020:13:39:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:13:39:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:13:41:56 +0530] "POST /project_4/UserRegistrationCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:13:42:19 +0530] "POST /project_4/UserRegistrationCtl HTTP/1.1" 200 7812
0:0:0:0:0:0:0:1 - - [04/Sep/2020:13:42:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:13:42:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:13:44:25 +0530] "POST /project_4/UserRegistrationCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:13:44:35 +0530] "POST /project_4/UserRegistrationCtl HTTP/1.1" 200 7404
0:0:0:0:0:0:0:1 - - [04/Sep/2020:13:44:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Sep/2020:13:44:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
