127.0.0.1 - - [29/Sep/2020:10:53:47 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:53:48 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:53:48 +0530] "GET /project_4/image/rays.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:54:07 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:54:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:54:13 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4236
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:54:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:54:28 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:54:28 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4364
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:54:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:54:48 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 6888
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:54:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:59:17 +0530] "GET /project_4/ctl/CollegeListCtl HTTP/1.1" 200 10617
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:59:17 +0530] "GET /project_4/js/CheckBox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:59:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:59:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Sep/2020:11:02:09 +0530] "GET /project_4/ctl/MyProfileCtl HTTP/1.1" 200 7120
0:0:0:0:0:0:0:1 - - [29/Sep/2020:11:02:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Sep/2020:11:02:09 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [29/Sep/2020:11:02:09 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [29/Sep/2020:11:03:21 +0530] "POST /project_4/ctl/MyProfileCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:11:03:21 +0530] "GET /project_4/ctl/ChangePasswordCtl HTTP/1.1" 200 6185
0:0:0:0:0:0:0:1 - - [29/Sep/2020:11:03:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Sep/2020:11:04:18 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 8487
0:0:0:0:0:0:0:1 - - [29/Sep/2020:11:04:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
