127.0.0.1 - - [30/Aug/2020:08:50:24 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:50:26 +0530] "GET /project_4/WEB-INF/web.xml HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:50:26 +0530] "GET /project_4/ErrorCtl/img/logo.png HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:50:47 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:51:02 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:51:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:51:24 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:51:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:51:26 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:51:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:51:37 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:51:37 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4355
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:51:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:51:42 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 4914
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:51:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:51:43 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 8127
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:51:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:51:51 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:51:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:51:52 +0530] "GET /project_4/ctl/MarksheetListCtl HTTP/1.1" 200 9807
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:51:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:51:58 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:51:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:52:10 +0530] "GET /project_4/ctl/MarksheetListCtl HTTP/1.1" 200 9807
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:52:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:52:13 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:52:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:52:16 +0530] "GET /project_4/ctl/MarksheetListCtl HTTP/1.1" 200 9807
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:52:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:52:20 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:52:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:52:41 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7637
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:52:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:52:45 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:52:45 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:52:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:53:06 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7637
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:53:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:53:08 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:53:08 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:53:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:53:32 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7637
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:53:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:53:35 +0530] "GET /project_4/ctl/MarksheetListCtl HTTP/1.1" 200 10300
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:53:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:53:39 +0530] "POST /project_4/ctl/MarksheetListCtl HTTP/1.1" 200 7125
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:53:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:53:42 +0530] "POST /project_4/ctl/MarksheetListCtl HTTP/1.1" 200 10300
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:53:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:53:50 +0530] "POST /project_4/ctl/MarksheetListCtl HTTP/1.1" 200 6726
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:53:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:53:52 +0530] "POST /project_4/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:53:52 +0530] "GET /project_4/ctl/MarksheetListCtl HTTP/1.1" 200 10300
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:53:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:53:56 +0530] "POST /project_4/ctl/MarksheetListCtl HTTP/1.1" 200 7121
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:53:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:54:00 +0530] "POST /project_4/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:54:00 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:54:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:54:04 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 8497
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:54:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:54:20 +0530] "GET /project_4/ctl/UserCtl HTTP/1.1" 200 8979
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:54:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:54:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:54:21 +0530] "GET /project_4/ctl/UserListCtl HTTP/1.1" 200 11096
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:54:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:54:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:54:28 +0530] "POST /project_4/ctl/UserListCtl HTTP/1.1" 200 6702
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:54:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Aug/2020:08:54:31 +0530] "GET /project_4/ctl/UserListCtl HTTP/1.1" 200 11096
