127.0.0.1 - - [01/Oct/2020:19:29:47 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:29:48 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:29:50 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:29:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:30:02 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4236
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:30:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:30:14 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:30:14 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4364
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:30:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:30:16 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5045
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:30:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:32:27 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5129
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:32:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:32:41 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5123
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:32:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:33:04 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5098
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:33:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:33:24 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5104
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:33:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:33:29 +0530] "GET /project_4/ctl/MarksheetListCtl HTTP/1.1" 200 10628
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:33:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:33:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:34:14 +0530] "GET /project_4/ctl/MarksheetListCtl HTTP/1.1" 200 10683
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:34:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:34:37 +0530] "GET /project_4/ctl/MarksheetListCtl HTTP/1.1" 200 10632
0:0:0:0:0:0:0:1 - - [01/Oct/2020:19:34:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
