127.0.0.1 - - [13/Oct/2020:09:33:49 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:33:50 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:34:03 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:34:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:34:06 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:34:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:34:15 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:34:15 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:34:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:35:04 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:35:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:35:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:41:10 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12085
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:41:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:41:17 +0530] "GET /project_4/ctl/FacultyCtl HTTP/1.1" 200 10119
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:41:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:41:19 +0530] "GET /project_4/ctl/FacultyCtl HTTP/1.1" 200 10119
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:41:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:41:23 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12085
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:41:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:41:37 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12085
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:41:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:41:43 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12085
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:41:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:42:02 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:42:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:42:06 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:42:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:42:10 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:42:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:42:13 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:42:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:42:18 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8020
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:42:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:42:20 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:42:20 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:42:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:45:26 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8008
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:45:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:45:31 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:45:41 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 4925
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:45:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:45:44 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:45:44 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:45:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:55:11 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:55:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:55:12 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:55:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:55:16 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 4925
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:55:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:55:18 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:55:18 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:55:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:55:25 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8490
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:55:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:55:54 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8020
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:55:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:58:02 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8020
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:58:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:58:05 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:58:05 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:58:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:58:19 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12065
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:58:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:58:19 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12065
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:58:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:58:24 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8003
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:58:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:58:26 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8003
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:58:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:58:27 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8003
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:58:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:58:27 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8003
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:58:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:58:27 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8003
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:58:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:59:06 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8015
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:59:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:59:10 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8015
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:59:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:59:12 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8015
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:59:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:59:16 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8015
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:59:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:59:20 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8015
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:59:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:59:22 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8015
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:59:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:59:37 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8019
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:59:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Oct/2020:09:59:40 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8019
