127.0.0.1 - - [26/Nov/2020:14:14:23 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:14:23 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 4372
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:14:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:14:26 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 4372
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:14:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:14:27 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 4372
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:14:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:14:29 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 4372
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:14:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:14:31 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:14:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:14:36 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:14:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:14:44 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:14:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:15:10 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:15:10 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:15:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:15:25 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:15:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:15:35 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:15:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:28:53 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:28:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:29:47 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7914
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:29:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:29:58 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7905
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:29:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:30:08 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7905
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:30:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:30:13 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7905
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:30:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:30:56 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7905
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:30:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:31:01 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7905
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:31:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:31:03 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:31:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:31:20 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7911
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:31:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:31:24 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7911
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:31:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:31:29 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7911
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:31:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:36:27 +0530] "GET /project_4/LoginCtl?operation=logout HTTP/1.1" 200 4261
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:36:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:36:32 +0530] "POST /project_4/LoginCtl HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:36:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:37:29 +0530] "POST /project_4/LoginCtl HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:37:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:37:43 +0530] "POST /project_4/LoginCtl HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:37:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:37:48 +0530] "POST /project_4/LoginCtl HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:37:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:40:56 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:40:56 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:40:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:41:01 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:41:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:42:12 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:42:12 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:42:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:42:12 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:42:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:42:13 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:42:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:42:13 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:42:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:42:26 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7927
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:42:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:42:38 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7927
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:42:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:42:44 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7927
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:42:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:42:48 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7927
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:42:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:43:19 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7927
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:43:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:43:23 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7927
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:43:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:43:27 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:43:27 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:43:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:43:33 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:43:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:43:44 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:43:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:43:59 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:43:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:43:59 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:43:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:00 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:00 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:00 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:00 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:00 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:01 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:01 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:01 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:01 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:01 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:02 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:11 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:14 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:26 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:30 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:36 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:44:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:45:28 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:45:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:45:29 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:45:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:45:31 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:45:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:45:32 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [26/Nov/2020:14:45:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
