127.0.0.1 - - [12/Dec/2020:10:20:58 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:20:59 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:14 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:16 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:16 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:17 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:17 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:17 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:17 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:17 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:18 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:18 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:18 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:18 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:19 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:19 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:19 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:20 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:20 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:20 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:20 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:20 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:21 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:21 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:21 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:21 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:22 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:22 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:25:22 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:28:11 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:28:14 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:28:45 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:28:46 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:28:47 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:28:48 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:28:48 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:28:56 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:28:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:29:04 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:30:46 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:30:47 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:30:47 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:30:47 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:30:48 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:30:48 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:30:48 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:30:48 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:30:48 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:30:49 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:30:49 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:30:49 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:30:49 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:30:49 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:30:50 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:30:50 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:30:51 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:30:51 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:30:51 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:12 +0530] "GET /project_4/ HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:13 +0530] "GET /project_4/ HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:14 +0530] "GET /project_4/ HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:15 +0530] "GET /project_4/ HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:33 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:34 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:35 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:35 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:35 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:35 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:35 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:35 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:36 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:36 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:36 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:36 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:36 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:37 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:37 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:37 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:38 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:38 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:38 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:38 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:39 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:39 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:39 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:39 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:40 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:40 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:31:40 +0530] "GET /project_4/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:32:45 +0530] "GET /project_4/ HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:32:46 +0530] "GET /project_4/ HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:33:32 +0530] "GET /project_4/ HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:33:53 +0530] "GET /project_4/ HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:34:15 +0530] "GET /project_4/ HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:34:20 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:34:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:36:04 +0530] "GET /project_4/ HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:36:13 +0530] "GET /project_4/ HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:36:26 +0530] "GET /project_4/ HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:36:39 +0530] "GET /project_4/ HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:36:50 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:36:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:39:11 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:39:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:39:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:39:12 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:39:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:39:38 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:39:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:39:54 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:39:54 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:39:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:39:58 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:39:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:39:59 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:39:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:40:25 +0530] "GET /project_4/LoginCtl?operation=logout HTTP/1.1" 200 4261
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:40:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:41:31 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:41:31 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 3172
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:41:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:41:47 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3766
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:41:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:41:52 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 3172
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:41:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:41:53 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3766
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:41:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:44:32 +0530] "GET /project_4/LoginCtl?operation=logout HTTP/1.1" 200 4261
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:44:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:45:29 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2590
