127.0.0.1 - - [05/Oct/2020:09:54:36 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Oct/2020:09:54:37 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:08:11 +0530] "GET /project_4/ HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:08:28 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:12:01 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:12:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:15:11 +0530] "GET /project_4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:15:11 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:15:13 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:15:13 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:15:14 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:15:14 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:15:14 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:15:14 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:15:14 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:15:16 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2580
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:15:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:15:30 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4236
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:15:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:15:43 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:15:43 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4383
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:15:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:15:48 +0530] "GET /project_4/LoginCtl?operation=logout HTTP/1.1" 200 4255
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:15:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:15:49 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2580
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:15:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:31:06 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:31:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:31:54 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:31:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:32:00 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:32:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:32:09 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:32:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:32:38 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4236
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:32:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:32:49 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:32:49 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:32:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:10 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:10 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:10 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:11 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:14 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 8487
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:17 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5110
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:19 +0530] "GET /project_4/ctl/MyProfileCtl HTTP/1.1" 200 7120
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:20 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:21 +0530] "GET /project_4/ctl/ChangePasswordCtl HTTP/1.1" 200 6185
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:24 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7640
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:26 +0530] "GET /project_4/ctl/MarksheetListCtl HTTP/1.1" 200 10632
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:26 +0530] "GET /project_4/js/CheckBox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:32 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5110
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:33:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:35:04 +0530] "GET /project_4/LoginCtl?operation=logout HTTP/1.1" 200 4255
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:35:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:35:33 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:35:34 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:35:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:35:54 +0530] "GET /project_4/LoginCtl?operation=logout HTTP/1.1" 200 4255
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:35:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:36:10 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:36:10 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:36:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:36:17 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3761
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:36:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:36:24 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3761
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:36:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:36:28 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3761
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:36:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:36:58 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 3033
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:36:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:37:00 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3761
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:37:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:38:07 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:38:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:38:09 +0530] "GET /project_4/ctl/MyProfileCtl HTTP/1.1" 200 5791
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:38:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:38:09 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [05/Oct/2020:10:38:12 +0530] "POST /project_4/ctl/MyProfileCtl HTTP/1.1" 302 -
