127.0.0.1 - - [05/Aug/2020:10:36:56 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Aug/2020:10:36:57 +0530] "GET /project_4/jsp/UserRegistrationView.jsp HTTP/1.1" 200 7609
0:0:0:0:0:0:0:1 - - [05/Aug/2020:10:36:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Aug/2020:10:36:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Aug/2020:10:37:55 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4189
0:0:0:0:0:0:0:1 - - [05/Aug/2020:10:37:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Aug/2020:10:38:07 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Aug/2020:10:38:07 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [05/Aug/2020:10:38:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Aug/2020:10:38:12 +0530] "GET /project_4/ctl/MyProfileCtl HTTP/1.1" 200 7158
0:0:0:0:0:0:0:1 - - [05/Aug/2020:10:38:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Aug/2020:10:38:12 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Aug/2020:10:38:12 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Aug/2020:10:45:42 +0530] "GET /project_4/LoginCtl?operation=logout HTTP/1.1" 200 4208
0:0:0:0:0:0:0:1 - - [05/Aug/2020:10:45:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Aug/2020:10:45:44 +0530] "GET /project_4/LoginCtl?operation=logout HTTP/1.1" 200 4208
0:0:0:0:0:0:0:1 - - [05/Aug/2020:10:45:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Aug/2020:10:45:49 +0530] "GET /project_4/LoginCtl?operation=logout HTTP/1.1" 200 4208
0:0:0:0:0:0:0:1 - - [05/Aug/2020:10:45:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
