0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:13:11 +0530] "POST /project_4/LoginCtl HTTP/1.1" 200 2850
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:13:11 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:13:14 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:13:14 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:13:17 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 4023
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:13:17 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:16:05 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 4017
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:16:05 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:16:12 +0530] "GET /project_4/ctl/MyProfileCtl HTTP/1.1" 200 4889
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:16:12 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:16:12 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:22:50 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 4158
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:22:50 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:38:25 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 4160
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:38:25 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:38:39 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 4159
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:38:39 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:38:41 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 4159
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:38:41 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:38:45 +0530] "GET /project_4/ctl/ChangePasswordCtl HTTP/1.1" 200 4113
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:38:45 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:39:01 +0530] "GET /project_4/ctl/ChangePasswordCtl HTTP/1.1" 200 4112
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:39:01 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:39:26 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3304
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:39:26 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:40:35 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3651
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:40:35 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:40:44 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5413
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:40:44 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:48:32 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5413
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:48:32 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:49:17 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5419
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:49:17 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:49:26 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 4164
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:49:26 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:49:29 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:49:29 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:49:33 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 4164
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:49:33 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:49:36 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [07/Jul/2020:14:49:36 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:20:45 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 2491
