127.0.0.1 - - [22/Oct/2020:07:55:03 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Oct/2020:07:55:04 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [22/Oct/2020:07:55:12 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [22/Oct/2020:07:55:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:07:55:18 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [22/Oct/2020:07:55:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:07:55:27 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:07:55:27 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [22/Oct/2020:07:55:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:07:55:36 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 11455
0:0:0:0:0:0:0:1 - - [22/Oct/2020:07:55:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:07:55:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:07:56:09 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 11641
0:0:0:0:0:0:0:1 - - [22/Oct/2020:07:56:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:07:57:07 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 11641
0:0:0:0:0:0:0:1 - - [22/Oct/2020:07:57:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:07:57:31 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:07:57:31 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 11641
0:0:0:0:0:0:0:1 - - [22/Oct/2020:07:57:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:07:57:40 +0530] "GET /project_4/ctl/TimeTableCtl HTTP/1.1" 200 9282
0:0:0:0:0:0:0:1 - - [22/Oct/2020:07:57:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:07:58:08 +0530] "POST /project_4/ctl/TimeTableCtl HTTP/1.1" 200 9408
0:0:0:0:0:0:0:1 - - [22/Oct/2020:07:58:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:00:41 +0530] "POST /project_4/ctl/TimeTableCtl HTTP/1.1" 200 8997
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:00:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:00:45 +0530] "POST /project_4/ctl/TimeTableCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:00:45 +0530] "GET /project_4/ctl/TimeTableCtl HTTP/1.1" 200 8878
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:00:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:01:16 +0530] "POST /project_4/ctl/TimeTableCtl HTTP/1.1" 200 8977
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:01:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:01:22 +0530] "POST /project_4/ctl/TimeTableCtl HTTP/1.1" 200 8977
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:01:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:01:28 +0530] "POST /project_4/ctl/TimeTableCtl HTTP/1.1" 200 8977
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:01:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:01:28 +0530] "POST /project_4/ctl/TimeTableCtl HTTP/1.1" 200 8977
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:01:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:01:50 +0530] "POST /project_4/ctl/TimeTableCtl HTTP/1.1" 200 8977
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:01:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:01:56 +0530] "POST /project_4/ctl/TimeTableCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:01:56 +0530] "GET /project_4/ctl/TimeTableCtl HTTP/1.1" 200 8878
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:01:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:02:27 +0530] "POST /project_4/ctl/TimeTableCtl HTTP/1.1" 200 9000
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:02:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:05:37 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12096
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:05:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:05:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:05:41 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8011
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:05:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:05:44 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12096
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:05:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:05:54 +0530] "GET /project_4/ctl/TimeTableCtl HTTP/1.1" 200 8878
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:05:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:06:24 +0530] "POST /project_4/ctl/TimeTableCtl HTTP/1.1" 200 8974
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:06:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:06:55 +0530] "POST /project_4/ctl/TimeTableCtl HTTP/1.1" 200 8974
0:0:0:0:0:0:0:1 - - [22/Oct/2020:08:06:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
