127.0.0.1 - - [18/Sep/2020:22:03:20 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Sep/2020:22:03:21 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [18/Sep/2020:22:03:22 +0530] "GET /project_4/image/rays.png HTTP/1.1" 200 6032
0:0:0:0:0:0:0:1 - - [18/Sep/2020:22:03:22 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Sep/2020:22:03:23 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [18/Sep/2020:22:03:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Sep/2020:22:03:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Sep/2020:22:03:28 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4236
0:0:0:0:0:0:0:1 - - [18/Sep/2020:22:03:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Sep/2020:22:04:00 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Sep/2020:22:04:00 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [18/Sep/2020:22:04:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Sep/2020:22:04:15 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 6893
0:0:0:0:0:0:0:1 - - [18/Sep/2020:22:04:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Sep/2020:22:04:18 +0530] "POST /project_4/ctl/CollegeCtl HTTP/1.1" 200 6893
0:0:0:0:0:0:0:1 - - [18/Sep/2020:22:04:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
