127.0.0.1 - - [30/Sep/2020:10:15:13 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:15:15 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:15:18 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:15:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:15:25 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4236
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:15:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:15:27 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4236
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:15:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:15:28 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4236
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:15:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:22:05 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:22:05 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4364
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:22:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:22:07 +0530] "GET /project_4/ctl/MyProfileCtl HTTP/1.1" 200 7120
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:22:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:22:07 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:25:41 +0530] "POST /project_4/ctl/MyProfileCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:25:41 +0530] "GET /project_4/ctl/ChangePasswordCtl HTTP/1.1" 200 6185
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:25:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:28:33 +0530] "GET /project_4/ctl/TimeTableCtl HTTP/1.1" 200 9277
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:28:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:28:33 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:28:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:30:56 +0530] "GET /project_4/ctl/TimeTableCtl HTTP/1.1" 200 9277
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:30:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:30:58 +0530] "GET /project_4/ctl/TimeTableCtl HTTP/1.1" 200 9277
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:30:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:35:03 +0530] "GET /project_4/ctl/TimeTableCtl HTTP/1.1" 200 9283
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:35:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:35:05 +0530] "GET /project_4/ctl/TimeTableCtl HTTP/1.1" 200 9283
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:35:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:35:06 +0530] "GET /project_4/ctl/TimeTableCtl HTTP/1.1" 200 9283
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:35:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:35:32 +0530] "GET /project_4/ctl/TimeTableCtl HTTP/1.1" 200 9277
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:35:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:45:21 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12077
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:45:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Sep/2020:10:45:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
