127.0.0.1 - - [24/Jul/2020:10:31:52 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/Jul/2020:10:31:53 +0530] "GET /project_4/ HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [24/Jul/2020:10:31:54 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Jul/2020:10:31:55 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [24/Jul/2020:10:31:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Jul/2020:10:35:57 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [24/Jul/2020:10:35:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Jul/2020:10:36:00 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4141
0:0:0:0:0:0:0:1 - - [24/Jul/2020:10:36:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Jul/2020:10:36:12 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jul/2020:10:36:12 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4266
0:0:0:0:0:0:0:1 - - [24/Jul/2020:10:36:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Jul/2020:10:36:19 +0530] "GET /project_4/ctl/FacultyCtl HTTP/1.1" 200 7078
0:0:0:0:0:0:0:1 - - [24/Jul/2020:10:36:19 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [24/Jul/2020:10:36:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Jul/2020:10:36:23 +0530] "GET /project_4/ctl/FacultyListCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2020:10:36:31 +0530] "GET /project_4/ctl/FacultyListCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2020:10:37:01 +0530] "GET /project_4/ctl/FacultyListCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2020:10:38:32 +0530] "GET /project_4/ctl/FacultyListCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2020:10:38:37 +0530] "GET /project_4/ctl/FacultyListCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2020:10:41:21 +0530] "GET /project_4/ctl/FacultyListCtl HTTP/1.1" 200 6990
0:0:0:0:0:0:0:1 - - [24/Jul/2020:10:41:21 +0530] "GET /project_4/js/CheckBox11.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [24/Jul/2020:10:41:21 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [24/Jul/2020:10:41:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:09:20 +0530] "GET /project_4/ctl/FacultyListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:09:20 +0530] "GET /ctl/MarksheetCtl HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:11:07 +0530] "GET /project_4/ctl/FacultyCtl HTTP/1.1" 200 7078
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:11:07 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:11:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:11:09 +0530] "GET /project_4/ctl/FacultyListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:11:09 +0530] "GET /ctl/MarksheetCtl HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:11:12 +0530] "GET /ctl/MarksheetCtl HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:19:44 +0530] "GET /ctl/MarksheetCtl HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:19:57 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:20:00 +0530] "GET /project_4/ctl/FacultyListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:20:00 +0530] "GET /ctl/MarksheetCtl HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:45:50 +0530] "GET /project_4/ctl/FacultyCtl HTTP/1.1" 200 7078
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:45:50 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:45:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:45:51 +0530] "GET /project_4/ctl/FacultyCtl HTTP/1.1" 200 7078
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:45:51 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:45:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:45:54 +0530] "GET /project_4/ctl/FacultyListCtl HTTP/1.1" 200 7040
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:45:54 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:45:54 +0530] "GET /project_4/js/CheckBox11.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:45:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:53:45 +0530] "GET /project_4/ctl/FacultyListCtl HTTP/1.1" 200 7040
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:53:45 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:53:45 +0530] "GET /project_4/js/CheckBox11.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:53:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:53:49 +0530] "GET /project_4/ctl/FacultyListCtl HTTP/1.1" 200 7040
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:53:49 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:53:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:53:49 +0530] "GET /project_4/js/CheckBox11.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:53:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:53:54 +0530] "GET /project_4/ctl/FacultyCtl HTTP/1.1" 500 4060
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:53:57 +0530] "GET /project_4/ctl/FacultyCtl HTTP/1.1" 500 4060
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:55:20 +0530] "GET /project_4/ctl/FacultyCtl HTTP/1.1" 500 4039
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:56:18 +0530] "GET /project_4/ctl/FacultyCtl HTTP/1.1" 200 7090
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:56:18 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:56:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Jul/2020:11:56:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Jul/2020:12:56:51 +0530] "GET /project_4/ctl/FacultyCtl HTTP/1.1" 500 3454
0:0:0:0:0:0:0:1 - - [24/Jul/2020:12:56:53 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [24/Jul/2020:12:56:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Jul/2020:12:56:56 +0530] "GET /project_4/ctl/FacultyCtl HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Jul/2020:13:08:40 +0530] "GET /project_4/ctl/FacultyListCtl HTTP/1.1" 200 5355
0:0:0:0:0:0:0:1 - - [24/Jul/2020:13:08:40 +0530] "GET /project_4/js/CheckBox11.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [24/Jul/2020:13:08:40 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [24/Jul/2020:13:08:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Jul/2020:13:08:40 +0530] "GET /project_4/js/CheckBox11.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [24/Jul/2020:13:08:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Jul/2020:13:09:35 +0530] "GET /project_4/ctl/FacultyListCtl HTTP/1.1" 200 5355
0:0:0:0:0:0:0:1 - - [24/Jul/2020:13:09:35 +0530] "GET /project_4/js/CheckBox11.js HTTP/1.1" 404 1046
