127.0.0.1 - - [14/Oct/2020:14:10:16 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Oct/2020:14:10:17 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [14/Oct/2020:14:10:37 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [14/Oct/2020:14:10:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [14/Oct/2020:14:10:40 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [14/Oct/2020:14:10:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [14/Oct/2020:14:11:04 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:14:11:04 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [14/Oct/2020:14:11:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [14/Oct/2020:14:11:13 +0530] "GET /project_4/doc/index.html HTTP/1.1" 200 2998
0:0:0:0:0:0:0:1 - - [14/Oct/2020:14:11:13 +0530] "GET /project_4/doc/overview-frame.html HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [14/Oct/2020:14:11:13 +0530] "GET /project_4/doc/allclasses-frame.html HTTP/1.1" 200 11593
0:0:0:0:0:0:0:1 - - [14/Oct/2020:14:11:13 +0530] "GET /project_4/doc/overview-summary.html HTTP/1.1" 200 4991
0:0:0:0:0:0:0:1 - - [14/Oct/2020:14:11:13 +0530] "GET /project_4/doc/stylesheet.css HTTP/1.1" 200 13416
0:0:0:0:0:0:0:1 - - [14/Oct/2020:14:11:13 +0530] "GET /project_4/doc/script.js HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [14/Oct/2020:14:11:13 +0530] "GET /project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [14/Oct/2020:14:11:13 +0530] "GET /project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [14/Oct/2020:14:11:13 +0530] "GET /project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [14/Oct/2020:14:11:35 +0530] "GET /project_4/ctl/FacultyListCtl HTTP/1.1" 200 12756
0:0:0:0:0:0:0:1 - - [14/Oct/2020:14:11:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
