127.0.0.1 - - [24/Aug/2020:10:20:01 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/Aug/2020:10:20:01 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [24/Aug/2020:10:20:09 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [24/Aug/2020:10:20:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Aug/2020:10:20:49 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [24/Aug/2020:10:20:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Aug/2020:10:20:59 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2020:10:20:59 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4355
0:0:0:0:0:0:0:1 - - [24/Aug/2020:10:20:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Aug/2020:10:21:29 +0530] "GET /project_4/ctl/MarksheetListCtl HTTP/1.1" 200 9379
0:0:0:0:0:0:0:1 - - [24/Aug/2020:10:21:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Aug/2020:10:21:29 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2020:10:21:29 +0530] "GET /project_4/js/CheckBox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2020:10:21:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Aug/2020:10:24:17 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [24/Aug/2020:10:24:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Aug/2020:10:26:01 +0530] "GET /project_4/ctl/MarksheetListCtl HTTP/1.1" 200 9379
0:0:0:0:0:0:0:1 - - [24/Aug/2020:10:26:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Aug/2020:10:26:05 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [24/Aug/2020:10:26:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/Aug/2020:10:26:27 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7637
0:0:0:0:0:0:0:1 - - [24/Aug/2020:10:26:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
