127.0.0.1 - - [26/Jul/2020:16:02:48 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Jul/2020:16:02:49 +0530] "GET /project_4/ HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [26/Jul/2020:16:02:49 +0530] "GET /project_4/image/rays.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2020:16:02:49 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Jul/2020:16:02:52 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [26/Jul/2020:16:02:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Jul/2020:16:02:55 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4141
0:0:0:0:0:0:0:1 - - [26/Jul/2020:16:02:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Jul/2020:16:03:12 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [26/Jul/2020:16:03:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Jul/2020:16:04:08 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4141
0:0:0:0:0:0:0:1 - - [26/Jul/2020:16:04:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Jul/2020:16:04:19 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [26/Jul/2020:16:04:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Jul/2020:16:04:42 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [26/Jul/2020:16:04:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Jul/2020:16:04:59 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [26/Jul/2020:16:04:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Jul/2020:16:05:16 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4141
0:0:0:0:0:0:0:1 - - [26/Jul/2020:16:05:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Jul/2020:16:05:28 +0530] "GET /project_4/ForgetPasswordCtl HTTP/1.1" 200 3340
0:0:0:0:0:0:0:1 - - [26/Jul/2020:16:05:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
