127.0.0.1 - - [28/Jul/2020:22:00:15 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:00:16 +0530] "GET /project_4/ HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:00:18 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2531
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:00:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:00:20 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4141
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:00:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:00:23 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:00:23 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 6657
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:00:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:02:43 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7595
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:02:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:02:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:04:52 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 6657
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:04:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:06:26 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7595
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:06:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:06:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:07:30 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7583
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:07:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:07:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:07:44 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7584
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:07:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:07:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:26:36 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7619
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:26:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:26:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:26:53 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7620
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:26:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:26:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:27:12 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7618
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:27:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:27:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:29:43 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7629
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:29:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:29:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:29:59 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7630
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:29:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:29:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:30:16 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7630
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:30:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:30:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:30:45 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7637
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:30:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:30:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:31:45 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7637
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:31:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:31:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:32:18 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 7637
0:0:0:0:0:0:0:1 - - [28/Jul/2020:22:32:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
