127.0.0.1 - - [19/Sep/2020:17:18:34 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:18:35 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:18:52 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:18:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:19:09 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4236
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:19:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:20:36 +0530] "POST /project_4/LoginCtl HTTP/1.1" 200 4276
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:20:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:22:39 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:22:39 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:22:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:35:54 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 4928
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:35:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:36:16 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 4954
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:36:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:37:04 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 4955
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:37:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:37:20 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 6806
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:37:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:42:34 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 8508
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:42:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:50:59 +0530] "GET /project_4/ctl/MyProfileCtl HTTP/1.1" 200 7125
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:50:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:50:59 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:50:59 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:53:31 +0530] "GET /project_4/ctl/ChangePasswordCtl HTTP/1.1" 200 6190
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:53:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:59:32 +0530] "GET /project_4/ctl/TimeTableCtl HTTP/1.1" 200 9282
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:59:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:59:32 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 200 95931
0:0:0:0:0:0:0:1 - - [19/Sep/2020:17:59:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Sep/2020:18:08:15 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [19/Sep/2020:18:08:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Sep/2020:18:08:23 +0530] "GET /project_4/doc/index.html HTTP/1.1" 200 2880
0:0:0:0:0:0:0:1 - - [19/Sep/2020:18:08:23 +0530] "GET /project_4/doc/allclasses-frame.html HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [19/Sep/2020:18:08:23 +0530] "GET /project_4/doc/stylesheet.css HTTP/1.1" 200 13416
0:0:0:0:0:0:0:1 - - [19/Sep/2020:18:08:23 +0530] "GET /project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [19/Sep/2020:18:08:24 +0530] "GET /project_4/doc/script.js HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [19/Sep/2020:18:08:24 +0530] "GET /project_4/doc/in/co/rays/project_4/ctl/package-summary.html HTTP/1.1" 200 4754
0:0:0:0:0:0:0:1 - - [19/Sep/2020:18:08:24 +0530] "GET /project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [19/Sep/2020:18:08:29 +0530] "GET /project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [19/Sep/2020:18:08:34 +0530] "GET /project_4/doc/in/co/rays/project_4/ctl/ORSView.html HTTP/1.1" 200 45025
0:0:0:0:0:0:0:1 - - [19/Sep/2020:18:08:35 +0530] "GET /project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [19/Sep/2020:18:22:48 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [19/Sep/2020:18:22:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Sep/2020:18:22:49 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [19/Sep/2020:18:22:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Sep/2020:18:22:51 +0530] "GET /project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [19/Sep/2020:18:22:51 +0530] "GET /project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [19/Sep/2020:18:22:57 +0530] "GET /project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 876
