127.0.0.1 - - [14/Jul/2020:10:53:29 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Jul/2020:10:53:30 +0530] "GET /project_4/ HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [14/Jul/2020:10:53:34 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [14/Jul/2020:10:53:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [14/Jul/2020:10:53:39 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 3653
0:0:0:0:0:0:0:1 - - [14/Jul/2020:10:53:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [14/Jul/2020:10:54:43 +0530] "POST /project_4/LoginCtl HTTP/1.1" 200 3679
0:0:0:0:0:0:0:1 - - [14/Jul/2020:10:54:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [14/Jul/2020:10:54:58 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:10:54:58 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 3699
0:0:0:0:0:0:0:1 - - [14/Jul/2020:10:54:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [14/Jul/2020:10:57:54 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 5970
0:0:0:0:0:0:0:1 - - [14/Jul/2020:10:57:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [14/Jul/2020:19:06:46 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 4812
0:0:0:0:0:0:0:1 - - [14/Jul/2020:19:06:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
