0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:46:40 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 6898
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:46:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:46:58 +0530] "POST /project_4/ctl/CollegeCtl HTTP/1.1" 200 6898
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:46:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:53:51 +0530] "POST /project_4/ctl/CollegeCtl HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:53:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:53:55 +0530] "GET /project_4/ctl/TimeTableCtl HTTP/1.1" 200 9282
0:0:0:0:0:0:0:1 - - [06/Oct/2020:09:53:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:11:58:10 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 4367
0:0:0:0:0:0:0:1 - - [06/Oct/2020:11:58:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:11:58:24 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2020:11:58:24 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:11:58:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:11:59:49 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:11:59:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:11:59:49 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2020:11:59:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:11:59:59 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:00:00 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:00:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:00:01 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:00:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:00:05 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12090
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:00:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:00:14 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8501
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:00:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:00:17 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:00:17 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:00:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:01:04 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:01:04 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:01:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:01:09 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:01:09 +0530] "GET /project_4/ErrorCtl HTTP/1.1" 500 1608
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:01:16 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:01:33 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:01:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:01:37 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8490
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:01:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:01:41 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:02:45 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:02:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:02:45 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:02:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:02:45 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:02:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:02:46 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:02:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:02:52 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8020
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:02:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:02:55 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
