127.0.0.1 - - [10/Oct/2020:12:28:27 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Oct/2020:12:28:28 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [10/Oct/2020:12:28:28 +0530] "GET /project_4/image/rays.png HTTP/1.1" 200 6032
0:0:0:0:0:0:0:1 - - [10/Oct/2020:12:28:28 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Oct/2020:12:32:13 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [10/Oct/2020:12:32:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [10/Oct/2020:12:32:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [10/Oct/2020:12:32:17 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [10/Oct/2020:12:32:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [10/Oct/2020:12:32:29 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:12:32:29 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [10/Oct/2020:12:32:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [10/Oct/2020:12:32:38 +0530] "GET /project_4/ctl/RoleCtl HTTP/1.1" 200 5512
0:0:0:0:0:0:0:1 - - [10/Oct/2020:12:32:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [10/Oct/2020:12:32:42 +0530] "GET /project_4/ctl/RoleListCtl HTTP/1.1" 200 7696
0:0:0:0:0:0:0:1 - - [10/Oct/2020:12:32:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [10/Oct/2020:12:32:42 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 200 95931
0:0:0:0:0:0:0:1 - - [10/Oct/2020:12:32:42 +0530] "GET /project_4/js/CheckBox11.js HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [10/Oct/2020:12:32:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [10/Oct/2020:12:32:44 +0530] "GET /project_4/ctl/UserCtl HTTP/1.1" 200 9027
0:0:0:0:0:0:0:1 - - [10/Oct/2020:12:32:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [10/Oct/2020:12:32:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
