127.0.0.1 - - [19/Oct/2020:10:56:41 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:56:42 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:56:47 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 4367
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:56:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:56:58 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:56:59 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 11641
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:56:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:56:59 +0530] "GET /project_4/js/CheckBox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:56:59 +0530] "GET /project_4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:56:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:57:08 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5114
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:57:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:57:09 +0530] "GET /project_4/ctl/CourseCtl HTTP/1.1" 200 6307
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:57:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:34:09 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 4361
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:34:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:34:11 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 4361
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:34:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:34:11 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 4361
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:34:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:34:11 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 4361
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:34:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:34:12 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 4361
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:34:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Oct/2020:11:34:22 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
