127.0.0.1 - - [30/Oct/2020:15:32:28 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Oct/2020:15:32:29 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [30/Oct/2020:15:32:31 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [30/Oct/2020:15:32:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Oct/2020:15:32:33 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [30/Oct/2020:15:32:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Oct/2020:15:32:46 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2020:15:32:46 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [30/Oct/2020:15:32:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Oct/2020:15:32:50 +0530] "GET /project_4/ctl/StudentCtl HTTP/1.1" 200 8132
0:0:0:0:0:0:0:1 - - [30/Oct/2020:15:32:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Oct/2020:15:32:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Oct/2020:15:33:22 +0530] "POST /project_4/ctl/StudentCtl HTTP/1.1" 200 8275
0:0:0:0:0:0:0:1 - - [30/Oct/2020:15:33:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Oct/2020:15:33:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Oct/2020:15:33:28 +0530] "POST /project_4/ctl/StudentCtl HTTP/1.1" 200 8279
0:0:0:0:0:0:0:1 - - [30/Oct/2020:15:33:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Oct/2020:15:33:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
