127.0.0.1 - - [20/Oct/2020:09:37:05 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:37:06 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:37:08 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:37:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:37:15 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:37:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:37:45 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:37:45 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:37:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:38:01 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:38:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:40:02 +0530] "POST /project_4/ctl/CollegeCtl HTTP/1.1" 200 7003
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:40:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:42:27 +0530] "POST /project_4/ctl/CollegeCtl HTTP/1.1" 200 6994
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:42:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:42:40 +0530] "GET /project_4/ctl/CollegeListCtl HTTP/1.1" 200 10753
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:42:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:42:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:42:42 +0530] "POST /project_4/ctl/CollegeListCtl HTTP/1.1" 200 9535
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:42:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:42:53 +0530] "POST /project_4/ctl/CollegeListCtl HTTP/1.1" 200 10777
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:42:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:42:59 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:42:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:43:29 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:43:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:43:29 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:43:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:43:29 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:43:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:43:29 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:43:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:43:30 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:43:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:43:30 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:43:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:43:30 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:43:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:43:59 +0530] "POST /project_4/ctl/CollegeCtl HTTP/1.1" 200 6999
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:43:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:44:22 +0530] "POST /project_4/ctl/CollegeCtl HTTP/1.1" 200 6994
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:44:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:44:31 +0530] "GET /project_4/ctl/CollegeListCtl HTTP/1.1" 200 10753
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:44:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:44:34 +0530] "POST /project_4/ctl/CollegeListCtl HTTP/1.1" 200 9535
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:44:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:44:42 +0530] "POST /project_4/ctl/CollegeListCtl HTTP/1.1" 200 10777
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:44:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:58:28 +0530] "POST /project_4/ctl/CollegeListCtl HTTP/1.1" 200 10743
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:58:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:58:31 +0530] "POST /project_4/ctl/CollegeListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:58:31 +0530] "GET /project_4/ctl/CollegeListCtl HTTP/1.1" 200 10719
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:58:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:58:35 +0530] "GET /project_4/ctl/CollegeCtl HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [20/Oct/2020:09:58:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:10:12:27 +0530] "GET /project_4/ctl/StudentCtl HTTP/1.1" 200 8100
0:0:0:0:0:0:0:1 - - [20/Oct/2020:10:12:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:10:12:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:10:12:39 +0530] "POST /project_4/ctl/StudentCtl HTTP/1.1" 200 8312
0:0:0:0:0:0:0:1 - - [20/Oct/2020:10:12:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:10:12:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:10:13:41 +0530] "POST /project_4/ctl/StudentCtl HTTP/1.1" 200 8241
0:0:0:0:0:0:0:1 - - [20/Oct/2020:10:13:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:10:13:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:10:23:48 +0530] "POST /project_4/ctl/StudentCtl HTTP/1.1" 200 8237
0:0:0:0:0:0:0:1 - - [20/Oct/2020:10:23:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:10:23:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:10:23:55 +0530] "POST /project_4/ctl/StudentCtl HTTP/1.1" 200 8237
0:0:0:0:0:0:0:1 - - [20/Oct/2020:10:23:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2020:10:23:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
