127.0.0.1 - - [15/Sep/2020:17:34:05 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/Sep/2020:17:34:06 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [15/Sep/2020:17:34:08 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [15/Sep/2020:17:34:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Sep/2020:17:34:10 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4236
0:0:0:0:0:0:0:1 - - [15/Sep/2020:17:34:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Sep/2020:17:34:23 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Sep/2020:17:34:23 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [15/Sep/2020:17:34:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Sep/2020:17:34:41 +0530] "GET /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7558
0:0:0:0:0:0:0:1 - - [15/Sep/2020:17:34:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Sep/2020:17:35:18 +0530] "POST /project_4/ctl/MarksheetCtl HTTP/1.1" 200 7651
0:0:0:0:0:0:0:1 - - [15/Sep/2020:17:35:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
