127.0.0.1 - - [26/Sep/2020:09:08:10 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Sep/2020:09:08:11 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [26/Sep/2020:09:08:17 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [26/Sep/2020:09:08:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Sep/2020:09:08:20 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4236
0:0:0:0:0:0:0:1 - - [26/Sep/2020:09:08:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Sep/2020:09:08:38 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2020:09:08:38 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4364
0:0:0:0:0:0:0:1 - - [26/Sep/2020:09:08:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Sep/2020:09:08:44 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5045
0:0:0:0:0:0:0:1 - - [26/Sep/2020:09:08:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Sep/2020:09:08:49 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4364
0:0:0:0:0:0:0:1 - - [26/Sep/2020:09:08:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Sep/2020:13:59:10 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 4366
0:0:0:0:0:0:0:1 - - [26/Sep/2020:13:59:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Sep/2020:13:59:32 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2020:13:59:32 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 8487
0:0:0:0:0:0:0:1 - - [26/Sep/2020:13:59:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:23:41 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 8487
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:23:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:23:42 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 8487
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:23:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:23:43 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 8487
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:23:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:23:44 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 5045
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:23:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:23:46 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 8487
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:23:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:24:17 +0530] "GET /project_4/ctl/MyProfileCtl HTTP/1.1" 200 7120
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:24:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:24:17 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:24:17 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:24:27 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 8487
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:24:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:25:00 +0530] "POST /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:25:00 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4364
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:25:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:25:26 +0530] "GET /project_4/ctl/MyProfileCtl HTTP/1.1" 200 7120
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:25:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:25:26 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:25:26 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:26:20 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 8487
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:26:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:28:16 +0530] "GET /project_4/ctl/MyProfileCtl HTTP/1.1" 200 7120
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:28:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:28:16 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [26/Sep/2020:14:28:16 +0530] "GET /project_4/jss/calendar.js HTTP/1.1" 404 876
