127.0.0.1 - - [04/Jul/2020:15:16:34 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:16:35 +0530] "GET /project_4/ HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:16:37 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 1690
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:16:37 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:16:41 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 1690
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:16:41 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:16:41 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 1690
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:16:42 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:16:44 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 2589
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:16:44 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:16:46 +0530] "POST /project_4/LoginCtl HTTP/1.1" 200 2629
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:16:46 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:16:48 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:16:49 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 3504
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:16:49 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:16:49 +0530] "GET /project_4/js/calendar.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:16:49 +0530] "GET /project_4/img/cal.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:18:52 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 3527
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:18:52 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:18:52 +0530] "GET /project_4/js/calendar.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:18:52 +0530] "GET /project_4/img/cal.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:19:11 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 3535
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:19:11 +0530] "GET /project_4/js/calendar.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:19:11 +0530] "GET /project_4/img/cal.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:19:11 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:20:06 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 3535
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:20:06 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:20:06 +0530] "GET /project_4/js/calendar.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:20:06 +0530] "GET /project_4/img/cal.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:20:56 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 3660
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:20:57 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:20:57 +0530] "GET /project_4/js/calendar.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:20:57 +0530] "GET /project_4/img/cal.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:21:52 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 3700
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:21:52 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:21:52 +0530] "GET /project_4/js/calendar.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:21:52 +0530] "GET /project_4/img/cal.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:23:01 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 3752
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:23:01 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:23:01 +0530] "GET /project_4/js/calendar.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:23:01 +0530] "GET /project_4/img/cal.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:26:39 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 3903
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:26:39 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:26:39 +0530] "GET /project_4/js/calendar.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:26:39 +0530] "GET /project_4/img/cal.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [04/Jul/2020:15:27:37 +0530] "GET /project_4/UserRegistrationCtl HTTP/1.1" 200 3937
