127.0.0.1 - - [14/Dec/2020:14:17:28 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Dec/2020:14:17:29 +0530] "GET /project_4/ HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [14/Dec/2020:14:18:36 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:14:18:36 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [14/Dec/2020:14:18:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [14/Dec/2020:14:18:38 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [14/Dec/2020:14:18:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [14/Dec/2020:14:18:51 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:14:18:51 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [14/Dec/2020:14:18:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [14/Dec/2020:14:18:58 +0530] "GET /project_4/doc/index.html HTTP/1.1" 200 2998
0:0:0:0:0:0:0:1 - - [14/Dec/2020:14:18:58 +0530] "GET /project_4/doc/overview-frame.html HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [14/Dec/2020:14:18:58 +0530] "GET /project_4/doc/allclasses-frame.html HTTP/1.1" 200 11593
0:0:0:0:0:0:0:1 - - [14/Dec/2020:14:18:58 +0530] "GET /project_4/doc/stylesheet.css HTTP/1.1" 200 13416
0:0:0:0:0:0:0:1 - - [14/Dec/2020:14:18:58 +0530] "GET /project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [14/Dec/2020:14:18:58 +0530] "GET /project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [14/Dec/2020:14:18:58 +0530] "GET /project_4/doc/overview-summary.html HTTP/1.1" 200 4991
0:0:0:0:0:0:0:1 - - [14/Dec/2020:14:18:58 +0530] "GET /project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [14/Dec/2020:14:18:58 +0530] "GET /project_4/doc/script.js HTTP/1.1" 200 857
