127.0.0.1 - - [15/Oct/2020:12:10:57 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/Oct/2020:12:10:58 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [15/Oct/2020:12:11:32 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [15/Oct/2020:12:11:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Oct/2020:12:11:34 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [15/Oct/2020:12:11:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Oct/2020:12:11:43 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2020:12:11:43 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [15/Oct/2020:12:11:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Oct/2020:12:14:01 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12080
0:0:0:0:0:0:0:1 - - [15/Oct/2020:12:14:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Oct/2020:12:17:01 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 8489
0:0:0:0:0:0:0:1 - - [15/Oct/2020:12:17:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Oct/2020:12:22:12 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 4933
0:0:0:0:0:0:0:1 - - [15/Oct/2020:12:22:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Oct/2020:12:22:18 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2020:12:22:18 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 11641
0:0:0:0:0:0:0:1 - - [15/Oct/2020:12:22:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Oct/2020:12:22:32 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 4925
0:0:0:0:0:0:0:1 - - [15/Oct/2020:12:22:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Oct/2020:12:22:39 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2020:12:22:39 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 11641
0:0:0:0:0:0:0:1 - - [15/Oct/2020:12:22:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
