127.0.0.1 - - [03/Oct/2020:12:14:58 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Oct/2020:12:14:59 +0530] "GET /project_4/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [03/Oct/2020:12:15:00 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [03/Oct/2020:12:18:04 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [03/Oct/2020:12:18:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [03/Oct/2020:12:18:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [03/Oct/2020:12:19:55 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [03/Oct/2020:12:19:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [03/Oct/2020:12:19:58 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 4236
0:0:0:0:0:0:0:1 - - [03/Oct/2020:12:19:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [03/Oct/2020:12:20:40 +0530] "POST /project_4/LoginCtl HTTP/1.1" 200 4276
0:0:0:0:0:0:0:1 - - [03/Oct/2020:12:20:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [03/Oct/2020:12:22:20 +0530] "POST /project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2020:12:22:20 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4364
0:0:0:0:0:0:0:1 - - [03/Oct/2020:12:22:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [03/Oct/2020:12:31:40 +0530] "GET /project_4/doc/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2020:12:31:40 +0530] "GET /project_4/doc/overview-frame.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2020:12:31:40 +0530] "GET /project_4/doc/overview-summary.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2020:12:31:40 +0530] "GET /project_4/doc/allclasses-frame.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2020:12:31:40 +0530] "GET /project_4/doc/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2020:12:31:40 +0530] "GET /project_4/doc/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2020:12:31:40 +0530] "GET /project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [03/Oct/2020:12:31:40 +0530] "GET /project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [03/Oct/2020:12:31:40 +0530] "GET /project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 876
