127.0.0.1 - - [06/Jul/2020:15:10:39 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:10:40 +0530] "GET /project_4/ HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:10:43 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 1690
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:10:43 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:10:46 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 2646
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:10:47 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:12:38 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 2677
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:12:38 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:13:08 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 2703
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:13:08 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:13:33 +0530] "GET /project_4/LoginCtl HTTP/1.1" 200 2735
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:13:33 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:13:38 +0530] "POST /project_4/LoginCtl HTTP/1.1" 200 2775
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:13:38 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:13:48 +0530] "POST /project_4/LoginCtl HTTP/1.1" 200 2755
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:13:48 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:14:04 +0530] "POST /project_4/LoginCtl HTTP/1.1" 200 2850
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:14:04 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:14:06 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:14:06 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:14:11 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3453
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:14:11 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:14:20 +0530] "POST /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3453
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:14:20 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:14:22 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 4023
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:14:22 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:14:23 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:14:23 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:16:02 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:16:02 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:16:04 +0530] "GET /project_4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 4023
0:0:0:0:0:0:0:1 - - [06/Jul/2020:15:16:04 +0530] "GET /project_4/img/customLogo.jpg HTTP/1.1" 404 1050
